,architecture,training_loss,training_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy,time
3,256-2,0.34114083647727966,0.865883469581604,0.32614967226982117,0.8729323148727417,0.3573480248451233,0.8526759147644043,42.63059425354004
4,128-2,0.34762895107269287,0.8596804738044739,0.3290150761604309,0.8703007698059082,0.3635452091693878,0.8484666347503662,42.424904584884644
2,256-128-2,0.3566494882106781,0.8514097929000854,0.3361145853996277,0.8560150265693665,0.37268298864364624,0.838845431804657,46.76966118812561
0,512-256-128-96-2,0.47701209783554077,0.80460524559021,0.4523662328720093,0.8214285969734192,0.474428653717041,0.8072760105133057,81.42132997512817
1,128-256-128-2,0.6936757564544678,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,52.79050159454346
