,epochs,training_loss,training_accuracy,validation_loss,validation_accuracy,test_loss,test_accuracy,time
2,100,0.35741502046585083,0.8622180223464966,0.34461796283721924,0.8725563883781433,0.3763486444950104,0.8535778522491455,1683084059.4543383
1,200,0.3382982611656189,0.8667293190956116,0.3289858102798462,0.8725563883781433,0.35306525230407715,0.8526759147644043,1683084287.3430939
5,10,0.46936842799186707,0.8111842274665833,0.44752106070518494,0.8169173002243042,0.4956825077533722,0.7961515188217163,1683083874.1521978
3,50,0.6936758756637573,0.5018796920776367,0.6943892240524292,0.49210527539253235,0.6937907934188843,0.5003006458282471,1683083959.2199872
0,500,0.696147620677948,0.4981203079223633,0.6947040557861328,0.50789475440979,0.6959142684936523,0.49969932436943054,1683084919.0908546
4,25,0.6935741901397705,0.4981203079223633,0.6930710077285767,0.50789475440979,0.6934910416603088,0.49969932436943054,1683083905.1099205
